Entry	STRING_ID
Q8BMT4	10090.ENSMUSP00000110817
Q7TSU7	10090.ENSMUSP00000039395
Q62165	10090.ENSMUSP00000130626
Q8R366	10090.ENSMUSP00000041232
Q91W20	10090.ENSMUSP00000028337
Q8C129	10090.ENSMUSP00000036998
P13379	10090.ENSMUSP00000025571
Q6S5G4	10090.ENSMUSP00000069187
P0DP43	NO_STRING_ID
O88736	10090.ENSMUSP00000027989
Q3TB92	10090.ENSMUSP00000083538
Q9EQF2	10090.ENSMUSP00000031899
O35082	10090.ENSMUSP00000077899
Q8BQZ8	10090.ENSMUSP00000060706
O54957	10090.ENSMUSP00000032997
Q8BHB3	10090.ENSMUSP00000131126
P11627	10090.ENSMUSP00000099935
Q2VLH6	10090.ENSMUSP00000108160
Q9Z262	10090.ENSMUSP00000024699
P49772	10090.ENSMUSP00000123506
P51180	10090.ENSMUSP00000026455
Q7TSN7	10090.ENSMUSP00000109425
P04919	10090.ENSMUSP00000006749
O55111	10090.ENSMUSP00000057096
Q8BTJ4	10090.ENSMUSP00000024757
Q8BVN3	10090.ENSMUSP00000051694
P06802	10090.ENSMUSP00000101159
P55288	10090.ENSMUSP00000074681
Q8BIF0	10090.ENSMUSP00000078944
Q8BQU6	10090.ENSMUSP00000104421
P27681	10090.ENSMUSP00000067632
Q9Z127	10090.ENSMUSP00000041557
Q5PT53	10090.ENSMUSP00000034111
P49446	10090.ENSMUSP00000073616
Q9WTM3	10090.ENSMUSP00000129081
P06800	10090.ENSMUSP00000138350
Q7M750	10090.ENSMUSP00000084422
B9EKR1	10090.ENSMUSP00000088056
Q9EQR5	10090.ENSMUSP00000045010
Q9WTX4	10090.ENSMUSP00000130929
Q8BUX5	10090.ENSMUSP00000130767
Q64347	10090.ENSMUSP00000031894
Q9CZ69	10090.ENSMUSP00000035007
Q9R0S2	10090.ENSMUSP00000029141
P16390	10090.ENSMUSP00000050680
Q8R0M8	10090.ENSMUSP00000029502
Q9JHI8	10090.ENSMUSP00000032781
Q91Y13	NO_STRING_ID
P19467	10090.ENSMUSP00000110696
Q9QZS7	10090.ENSMUSP00000006825
O08852	10090.ENSMUSP00000049296
Q9JJ00	10090.ENSMUSP00000091318
Q8R007	10090.ENSMUSP00000006578
Q9ES83	10090.ENSMUSP00000093382
O88704	10090.ENSMUSP00000006991
P0C6A1	10090.ENSMUSP00000059106
Q8R4V1	10090.ENSMUSP00000105129
P27573	10090.ENSMUSP00000066701
Q91XZ2	10090.ENSMUSP00000054371
Q9D3X9	10090.ENSMUSP00000125139
Q61847	10090.ENSMUSP00000080866
Q9D387	10090.ENSMUSP00000061180
P49282	10090.ENSMUSP00000023774
E2JF22	10090.ENSMUSP00000089777
Q9JK45	10090.ENSMUSP00000110955
O54982	10090.ENSMUSP00000096457
Q3UV74	10090.ENSMUSP00000000161
A6H8H5	10090.ENSMUSP00000126656
Q6PEM8	10090.ENSMUSP00000001126
O35379	10090.ENSMUSP00000097743
Q9DBV4	10090.ENSMUSP00000030947
P70232	10090.ENSMUSP00000063933
P70689	10090.ENSMUSP00000035630
Q8BGR2	10090.ENSMUSP00000113603
Q6DIB5	10090.ENSMUSP00000075174
O08581	10090.ENSMUSP00000046103
O55134	10090.ENSMUSP00000025311
Q9ESF1	10090.ENSMUSP00000073803
D3Z7H4	10090.ENSMUSP00000073591
B0F2B4	NO_STRING_ID
Q3V0I2	10090.ENSMUSP00000046776
Q99PJ1	10090.ENSMUSP00000101066
Q61735	10090.ENSMUSP00000099853
Q8C138	10090.ENSMUSP00000071899
P56402	10090.ENSMUSP00000023752
P28231	10090.ENSMUSP00000046755
Q9ESD7	10090.ENSMUSP00000080579
Q9ERC8	10090.ENSMUSP00000056040
Q5RKR3	10090.ENSMUSP00000130879
Q9DCX8	10090.ENSMUSP00000019896
P16388	10090.ENSMUSP00000055225
Q99JS0	10090.ENSMUSP00000101485
Q9CQC3	10090.ENSMUSP00000048680
Q8BHK1	10090.ENSMUSP00000053871
Q61469	NO_STRING_ID
A2A259	10090.ENSMUSP00000045675
Q810F0	10090.ENSMUSP00000074017
P97798	10090.ENSMUSP00000063656
Q9ET38	10090.ENSMUSP00000081334
O88870	10090.ENSMUSP00000113053
Q8R526	10090.ENSMUSP00000120803
Q2EG98	10090.ENSMUSP00000104865
Q9JIF3	10090.ENSMUSP00000028129
P01896	NO_STRING_ID
Q80XM3	10090.ENSMUSP00000056552
Q8HWB0	10090.ENSMUSP00000027744
P21440	10090.ENSMUSP00000003717
Q9D8B7	10090.ENSMUSP00000034472
Q9Z239	10090.ENSMUSP00000048460
Q9ET43	10090.ENSMUSP00000061928
