Entry	STRING_ID
O88854	10090.ENSMUSP00000054062
Q8BYG9	NO_STRING_ID
Q61730	NO_STRING_ID
Q62470	10090.ENSMUSP00000001548
P48356	10090.ENSMUSP00000037385
Q60943	10090.ENSMUSP00000002976
Q8BH06	10090.ENSMUSP00000062103
Q3UVD5	10090.ENSMUSP00000035444
Q3U6B2	10090.ENSMUSP00000052404
Q61603	10090.ENSMUSP00000018739
O09047	10090.ENSMUSP00000048092
P97772	10090.ENSMUSP00000037255
P70174	10090.ENSMUSP00000086383
Q5DT36	10090.ENSMUSP00000052805
Q3UWA6	10090.ENSMUSP00000032338
O35659	10090.ENSMUSP00000110221
Q1ERP8	10090.ENSMUSP00000102782
P83555	10090.ENSMUSP00000108729
Q8BMC0	10090.ENSMUSP00000042327
Q00560	10090.ENSMUSP00000138836
Q9Z1P4	10090.ENSMUSP00000020350
Q8BZA7	10090.ENSMUSP00000041664
O54707	10090.ENSMUSP00000107694
Q68SN8	10090.ENSMUSP00000050151
Q80WT4	10090.ENSMUSP00000037586
Q8K087	10090.ENSMUSP00000051417
Q7TQP0	10090.ENSMUSP00000066921
Q80SS6	10090.ENSMUSP00000077135
Q8K4B4	10090.ENSMUSP00000113342
P59823	10090.ENSMUSP00000109599
P34902	10090.ENSMUSP00000033664
Q8BLG2	10090.ENSMUSP00000053986
Q3UFD7	10090.ENSMUSP00000092163
P20491	10090.ENSMUSP00000078875
Q99JG2	10090.ENSMUSP00000027682
Q60934	10090.ENSMUSP00000072107
P21729	10090.ENSMUSP00000033730
Q03145	10090.ENSMUSP00000006614
Q8BZR0	10090.ENSMUSP00000062535
Q3UR32	10090.ENSMUSP00000028465
O88495	10090.ENSMUSP00000064608
Q8BZP8	10090.ENSMUSP00000056432
Q91ZC5	NO_STRING_ID
Q80ZE4	10090.ENSMUSP00000080240
Q6TCG2	10090.ENSMUSP00000078547
Q80ZE5	10090.ENSMUSP00000141054
P30557	10090.ENSMUSP00000043302
P32300	10090.ENSMUSP00000050077
Q61184	10090.ENSMUSP00000069872
Q9DCU0	10090.ENSMUSP00000034817
P70263	10090.ENSMUSP00000093653
P55086	10090.ENSMUSP00000022185
Q8VGI4	NO_STRING_ID
Q3U4N7	10090.ENSMUSP00000042312
P35413	10090.ENSMUSP00000101531
Q01705	10090.ENSMUSP00000028288
Q60891	10090.ENSMUSP00000049558
P30548	10090.ENSMUSP00000032122
Q923Z0	10090.ENSMUSP00000008878
O88855	10090.ENSMUSP00000051368
Q61627	10090.ENSMUSP00000044009
P56479	10090.ENSMUSP00000066381
Q61089	10090.ENSMUSP00000022906
Q8CBF3	10090.ENSMUSP00000035129
O88319	10090.ENSMUSP00000029084
P09055	10090.ENSMUSP00000087457
Q8VG08	10090.ENSMUSP00000075741
O70421	10090.ENSMUSP00000058629
Q924X6	10090.ENSMUSP00000102343
P97926	10090.ENSMUSP00000051132
Q925P2	NO_STRING_ID
Q8CII9	10090.ENSMUSP00000036326
Q02284	10090.ENSMUSP00000063136
A2A863	10090.ENSMUSP00000102068
P43117	10090.ENSMUSP00000029670
Q9ESG6	10090.ENSMUSP00000088642
P27931	10090.ENSMUSP00000027243
Q03137	10090.ENSMUSP00000027451
Q8C131	10090.ENSMUSP00000129280
P35951	10090.ENSMUSP00000034713
P14719	10090.ENSMUSP00000095379
A2ARA8	10090.ENSMUSP00000028106
P11835	10090.ENSMUSP00000000299
O08644	10090.ENSMUSP00000110380
Q6VMN6	10090.ENSMUSP00000063114
Q8K4Z6	10090.ENSMUSP00000020062
P97292	10090.ENSMUSP00000038170
P09581	10090.ENSMUSP00000025523
Q60754	10090.ENSMUSP00000027639
Q6SJQ0	10090.ENSMUSP00000102192
P31809	10090.ENSMUSP00000096266
Q9R0M0	10090.ENSMUSP00000088046
Q9ERZ3	10090.ENSMUSP00000140131
Q7TQP3	10090.ENSMUSP00000060591
Q03142	10090.ENSMUSP00000005452
Q9D6F4	10090.ENSMUSP00000031121
P47746	10090.ENSMUSP00000055797
P51680	10090.ENSMUSP00000062677
O35457	10090.ENSMUSP00000107519
P32211	10090.ENSMUSP00000040808
Q61527	10090.ENSMUSP00000114123
Q7TMA4	10090.ENSMUSP00000063660
P35347	10090.ENSMUSP00000091455
P97718	10090.ENSMUSP00000053703
Q9QY96	10090.ENSMUSP00000069080
Q91ZV8	10090.ENSMUSP00000033876
O54798	10090.ENSMUSP00000033464
Q8BW93	10090.ENSMUSP00000133056
Q6F3F9	10090.ENSMUSP00000043055
Q62192	10090.ENSMUSP00000022124
Q9CZ52	10090.ENSMUSP00000045634
P97793	10090.ENSMUSP00000083840
P56485	10090.ENSMUSP00000069114
Q8VHP6	10090.ENSMUSP00000022337
Q60755	10090.ENSMUSP00000075070
P28334	10090.ENSMUSP00000139389
P34968	10090.ENSMUSP00000043936
O54689	10090.ENSMUSP00000095029
P22646	10090.ENSMUSP00000099896
Q504P2	10090.ENSMUSP00000063627
Q2MKA5	10090.ENSMUSP00000091365
Q01337	10090.ENSMUSP00000059705
Q810W6	10090.ENSMUSP00000139555
Q8CBR1	10090.ENSMUSP00000112539
Q99MT7	10090.ENSMUSP00000059272
Q9D676	10090.ENSMUSP00000000254
Q149R9	10090.ENSMUSP00000085630
P26151	10090.ENSMUSP00000029748
P56481	10090.ENSMUSP00000033189
Q99LE2	10090.ENSMUSP00000098083
Q8BKG4	10090.ENSMUSP00000114114
Q61559	10090.ENSMUSP00000003512
Q3UJF0	10090.ENSMUSP00000084196
Q9EPB7	10090.ENSMUSP00000087959
O88572	10090.ENSMUSP00000032322
P30730	10090.ENSMUSP00000024916
P47743	10090.ENSMUSP00000110978
Q7TQN9	10090.ENSMUSP00000102194
P30731	10090.ENSMUSP00000034408
Q9R1V6	10090.ENSMUSP00000055000
P04756	10090.ENSMUSP00000028515
Q3UN16	10090.ENSMUSP00000038536
P32082	10090.ENSMUSP00000068120
Q6PI62	10090.ENSMUSP00000065533
P48168	10090.ENSMUSP00000029654
Q6PCP7	10090.ENSMUSP00000055958
Q8BMP4	10090.ENSMUSP00000080370
Q149M0	10090.ENSMUSP00000107713
P23819	10090.ENSMUSP00000074787
P39087	10090.ENSMUSP00000101127
O88853	NO_STRING_ID
Q0VDU3	10090.ENSMUSP00000086731
F8VQN3	10090.ENSMUSP00000089237
P0C673	10090.ENSMUSP00000023478
Q8K4C2	10090.ENSMUSP00000055343
P33033	10090.ENSMUSP00000047358
O35161	10090.ENSMUSP00000016172
P29755	10090.ENSMUSP00000068298
Q91ZI0	10090.ENSMUSP00000024238
P15379	10090.ENSMUSP00000005218
Q80ZF8	10090.ENSMUSP00000116231
P28843	10090.ENSMUSP00000044050
Q61614	10090.ENSMUSP00000034029
Q9D1E5	10090.ENSMUSP00000023736
Q9Z0M6	10090.ENSMUSP00000075240
P21803	10090.ENSMUSP00000112430
A1YIY0	10090.ENSMUSP00000091861
Q3U3F9	10090.ENSMUSP00000103893
Q8CIM5	10090.ENSMUSP00000078753
Q9WV18	10090.ENSMUSP00000025338
Q9JL06	10090.ENSMUSP00000128261
P05555	10090.ENSMUSP00000068468
O88713	10090.ENSMUSP00000032207
Q61739	10090.ENSMUSP00000028522
Q64264	10090.ENSMUSP00000022235
P30993	10090.ENSMUSP00000129972
Q8R4G9	10090.ENSMUSP00000034851
P23979	10090.ENSMUSP00000003826
P54763	10090.ENSMUSP00000101472
Q9EQD0	10090.ENSMUSP00000067783
Q61772	10090.ENSMUSP00000029964
Q9EP66	10090.ENSMUSP00000054104
P13504	10090.ENSMUSP00000027241
Q8C1T8	10090.ENSMUSP00000032518
P51678	10090.ENSMUSP00000039107
P35343	10090.ENSMUSP00000102512
A0A0B4J1G0	10090.ENSMUSP00000077873
Q5NCH9	10090.ENSMUSP00000130728
Q7TNC8	10090.ENSMUSP00000060827
Q8BUD0	10090.ENSMUSP00000061243
Q0P543	10090.ENSMUSP00000092384
Q8JZM4	10090.ENSMUSP00000042927
Q68EF4	10090.ENSMUSP00000112578
Q8C419	10090.ENSMUSP00000049708
P35378	10090.ENSMUSP00000040477
Q7TQP2	10090.ENSMUSP00000058762
Q8K0Z9	10090.ENSMUSP00000101276
Q04683	10090.ENSMUSP00000137518
